株式会社ミツヤ,,,,,針金 メッキ (要カット),,MSEN24 #24 500M 1KG,2769,900,巻,,巻,1,巻,事務所,,,,2
株式会社ミツヤ,,,,,噴霧器 握り付きホース㉛～㊽,,10 L キンボシ㈱ 6006,2784,4600,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,ペンライト,,,2812,,,,,1,,,,,,
株式会社ミツヤ,,,,,棒サンダー（エア）,50CM R04.05.25以降発注分より値上げ,NPK NHG-65LKA （長い）,2814,27000,台,,台,1,台,,,,,
株式会社ミツヤ,,,,,マスター超硬バー,,CB7C103,2828,2990,本,,本,1,本,,,,,
株式会社ミツヤ,,,,,木工用ボンド,,50g,2873,160,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,RSローラーチェーン用ジョイント,,RS80,2897,,個,,個,1,個,砂処理,,,,
株式会社ミツヤ,,,,,山本光学 スワン ゴーグル,,900N,2906,1210,個,,個,1,個,事務所,,,,3
株式会社ミツヤ,,,,,チッパ用フラットチゼル 角込 300mm,,チッピングハンマーAA-1ASP用,2950,1950,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,ＴRUSCO セーフティグラス（使用しない）,,GS-33（TM）,2953,465,個,,個,1,個,,,,,0
株式会社ミツヤ,,,,,片手ハンマーの柄,,HK-36Ｗ 650g用,2964,590,本,,本,1,本,,,,,0
株式会社ミツヤ,,,,,旭金属 急速オイルコック,,AC6100,2990,8570,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,日立 押しボタンスイッチ,,2PBH,3004,10200,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,アルインコ はしご兼用脚立,天板高さ0.82m はしご長さ1.75m,PRS-90W,3063,2790,台,,台,1,台,事務所,,,,
株式会社ミツヤ,,,,,FCH-20用 ホルダスプリング #715,,,3070,200,個,,個,1,個,,,,,
株式会社ミツヤ,,,,,アングル (5.5M),,L-6×66,3128,3160,本,,本,1,本,保全,,,,
株式会社ミツヤ,,,,,シナノ 5パッド DT-5L,, ,3156,2560,枚,,枚,1,枚,塗装場,,,,
株式会社ミツヤ,,,,,PP・紙バンド兼用シール,,SPOT-PPS155 ,3238,2100,箱,,箱,1,箱,事務所,,,,
株式会社ミツヤ,,,,,ヤッケ ジャケット,,,3240,600,着,,着,1,着,事務所,,,,
株式会社ミツヤ,,,,,ヤッケ ズボン,,,3241,600,着,,着,1,着,事務所,,,,
株式会社ミツヤ,,,,,日立 ホイルワッシャー,村越さんの工具用,317-972,3270,550,個,,個,1,個,シェル工場,,,,
株式会社ミツヤ,,,,,日立モートルブロック 押ボタンスイッチ,,2PBH 揚程6m,3292,10200,式,,式,1,式,,,,,
ミドリ安全倉敷株式会社,,,,,安全靴 PRM230F オールハトメ 甲プロM2,23.5～28cm,,3313,10000,足,,足,1,足,事務所,,,,
山川産業株式会社,,,,,塗型用ノズルガン （短）,500,別途発送費 ￥1,3327,,19000,,19000,1,,,,,,
山川産業株式会社,,,,,塗型用ノズルガン,200,別途発送費 ￥2,3352,,18000,,18000,1,,,,,,
山川産業株式会社,,,,,バーナーチップ,10mm,000,3355,,450,,450,1,1,,,,,
友和塗料株式会社,,,,,軍手,2022/11/1以降 10ダース単位で注文,,3377,550,双,,双,12,ダース,廊下,,,,6
友和塗料株式会社,,,,,布テープ,,ニチバン 白 LS102,3380,10350,箱,,箱,30,巻,,,,,16
友和塗料株式会社,,,,,３Ｍ アクリルレッド パテ,,,3393,1800,本,,本,1,本,西塗装場,,,,
二華園印刷,,,,,封筒 長型4号 糊付 (料金後納入り),小 1000枚/式,,3460,9800,式,,式,1000,式,,,,,
二華園印刷,,,,,封筒 マチなし,,角形2号 大  （500枚）,3461,6000,枚,,枚,500,式,,,,,
山川産業株式会社,,,,,SP20,,,3473,65,#REF!,,#REF!,550,F,シェル工場,,,,
山川産業株式会社,,,,,NE6,島根倉庫,(500KG）,3474,17,KG,,KG,500,F,シェル工場,,,,
友和塗料株式会社,,,,,ラッカーシンナー #200 16ℓ,送料がかかる,,3475,2680,缶,,缶,1,缶,東進工業,,,,
ナカヤマ株式会社,,,,,コントロールゲージ (NC-30),X-30ショット部品,WA-1661F,3477,2930,個,,個,1,個,ショット,,,,
ナカヤマ株式会社,,,,,ディストリビューター (ND-30),X-30ショット部品,WA-1802C,3478,2130,個,,個,1,個,ショット,,,,
ナカヤマ株式会社,,,,,シール φ140,X-30ショット部品,WA-1896A,3479,600,個,,個,1,個,ショット,,,,
ナカヤマ株式会社,,,,,ゴムOリング,X-30ショット部品,WA-2020,3481,1000,個,,個,1,個,ショット,,,,
ナカヤマ株式会社,,,,,エンドライナー （NE-30),X-30ショット部品,WA-2023B,3482,7430,個,,個,1,個,ショット,,,,
ナカヤマ株式会社,,,,,ブレード (NB-30),X-30ショット部品,WA-2075C,3483,750,枚,,枚,8,箱,ショット,,,,
直徳株式会社,,,,,横ツカミ 45 （全長278  口巾45）,,別途：送料￥800+代引き￥400,3485,8730,丁,,丁,1,丁,事務所,,,,
ナカヤマ株式会社,,,,,袋ナットR,S200Kショット部品,WA-0024,3488,1040,個,,個,1,個,ショット,,,,
