猪木　200228-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,アセチレンガス,,0.6kg,,"1,290.00 ",本,,本,,,溶接場,,,,7～10日,,,,,,,,,,,,,
猪木　200228-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,サンソガス,酸素小容器0.5㎥,0.5㎥,,"1,500.00 ",本,,本,,,溶接場,,,,7～10日,,,,,,,,,,,,,
猪木　240827,猪木01,いぎさんそ,㈲猪木酸素玉島店,31,ダイヘン　保護カバー,,H758B03,,460.00 ,個,,個,,,西工場,,,,,,,,,,,,,,,,,
猪木220620-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ZⅡチップ,,TET01296,,140.00 ,本,,本,,,保全,,,,,,,,,,,,,,,,,
猪木 221013,猪木01,いぎさんそ,㈲猪木酸素玉島店,31,ダイヘン　プラズマ切断機トーチ,,CTW-1201,,"173,000.00 ",本,,本,,,保全,2022/10/13,,,,,,,,,,,,,,,,
猪木 221221-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,色ガラス,,No.8,,200.00 ,枚,,枚,,,保全,2022/12/21,,,,,,,,,,,,,,,,
猪木 240624-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,色ガラス,,No.9,,210.00 ,枚,,枚,,,保全,2024/6/24,,値上げ,1日,,,,,,,,,,,,,
猪木 221221-03,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,色ガラス,,No.10,,200.00 ,枚,,枚,,,保全,2022/12/21,,,,,,,,,,,,,,,,
猪木 221221-04,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,モトユキ　ガチメタ,,GM105,,"1,680.00 ",枚,,枚,,,保全,2022/12/21,,,,,,,,,,,,,,,,
猪木 230301-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,ダイヘン　プラズマ電極,,H705F05,,560.00 ,個,,個,,,保全,2023/3/1,,,,,,,,,,,,,,,,
猪木 230301-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,ダイヘン　プラズマチップ,,H705F04,,460.00 ,個,,個,,,保全,2023/3/1,,,,,,,,,,,,,,,,
猪木 230428-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ハイドロカット用　調整期SRM型,,,,"10,000.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 230428-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ハイドロカット用　安全器SM-2,,,,"6,200.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 230428-03,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ハイドロカット用　中切火口NO2,,,,"1,000.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 230428-04,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ハイドロカット用　A切火口NO2,,,,"1,500.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 240419,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ハイドロカット　7㎥,2024/5/1～,,,"16,400.00 ",本,,本,,,保全,2024/5/1,,値上げ,,,,,,,,,,,,,,
猪木 230428-06,猪木01,いぎさんそ,㈲猪木酸素玉島店,,溶接ホルダ,,S300,,"2,640.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 230428-07,猪木01,いぎさんそ,㈲猪木酸素玉島店,,アースクリップ,,M300,,"1,940.00 ",個,,個,,,保全,2023/5/1,,,,,,,,,,,,,,,,
猪木 230522-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,ダイヘン　ノズルNo6,,H21B21,,750.00 ,個,,個,,,保全,2023/5/22,,,,,,,,,,,,,,,,
猪木 230819-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,ハンシン　中型切断機,,24山,,"9,500.00 ",個,,個,,,保全,2023/8/21,,,,,,,,,,,,,,,,
猪木 230819-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,ハンシン　中型切断機,,24山　直頭式,,"13,000.00 ",個,,個,,,保全,2023/8/21,,,,,,,,,,,,,,,,
猪木 230819-03,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,ハイドロカット用　中切火口NO2,,24山,,"1,200.00 ",個,,個,,,保全,2023/8/21,,,,,,,,,,,,,,,,
猪木 231019,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,OH工業　カストリハンマー,,NKH-10,,"2,000.00 ",本,,本,,,保全,2023/10/19,,,,,,,,,,,,,,,,
猪木 231005-1,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,OH工業　ナイロンスリング,,YNB-25-1M,,"1,000.00 ",本,,本,,,保全,2023/11/21,,,,,,,,,,,,,,,,
猪木 231005-2,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,OH工業　ナイロンスリング,,YNB-25-2M,,"1,400.00 ",本,,本,,,保全,2023/11/21,,,,,,,,,,,,,,,,
猪木 231005-3,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,OH工業　ナイロンスリング,,YNB-25-3M,,"1,800.00 ",本,,本,,,保全,2023/11/21,,,,,,,,,,,,,,,,
猪木 231221-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,ハイドロカット調整器,,,,"16,200.00 ",個,,個,,,保全,2023/12/21,,,,,,,,,,,,,,,,
猪木 231221-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,100,酸素調整器,,,,"13,500.00 ",個,,個,,,保全,2023/12/21,,,,,,,,,,,,,,,,
猪木 241102-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,SE-50T Φ1.2,20kg単位,溶接棒,コベルコ　溶接棒・ワイヤー,560.00 ,KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,TB-43 Φ3.2,5kg単位,溶接棒,コベルコ　溶接棒・ワイヤー,645.00 ,KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-03,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,LB-26 Φ3.2,5kg単位,溶接棒,コベルコ　溶接棒・ワイヤー,765.00 ,KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-04,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,B-17 Φ3.2,5kg単位,溶接棒,コベルコ,680.00 ,KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-05,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,NC-39 Φ3.2,5kg単位,溶接棒,コベルコ,"2,750.00 ",KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-06,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,TGS-50 Φ2.0,5kg単位,溶接棒,コベルコ　2mm＊1M,742.00 ,KG,,KG,,,保全,2024/11/4,,値上げ,1日,,,,,,,,,,,,,
猪木 241102-07,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,S2ノズル,5本単位,TGN00043,パナソニック　溶接用トーチ,460.00 ,本,,本,,,保全,2024/11/4,,値上げ,,,,,,,,,,,,,,
猪木 241205,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,タングステン電極,1本あたり400円　　2.4Φ×150mm,WT20　2.4mm　10本入,ティグ溶接で使用,"4,000.00 ",パック,,パック,,,保全,2024/12/5,,値上げ,1日,,,,,,,,,,,,,
猪原 20201005-01,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,ニコン　ハロゲンランプ,,12V50W LV-HL,,"2,100.00 ",個,,個,,,事務所,,,,,,,,,,,,,,,,,
猪原 20211013-01,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,スカイカット,,GC100N,,500.00 ,個,,個,,,事務所,,,,25日,,,,,,,,,,,,,
猪原 20211013-02,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,スカイカット,,WA100N,,510.00 ,個,,個,,,事務所,,,,25日,,,,,,,,,,,,,
猪原 20230821,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,ユニオン光学　バフ布,,GPG2800,,"2,000.00 ",個,,個,,,事務所,2023/8/21,049239,,受注後 約10日間,,,,,,,,,,,,,
猪原 250226-01,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,スカイカット,"メーカー送料1式1,500",GC100N,255ｘ1.2ｘ31.75,550.00 ,個,,個,,,事務所,2025/2/26,050590,,25日,,,,,,,,,,,,,
猪原 250226-02,猪原 01,いのはらしょうかい,猪原商会株式会社　岡山営業所,60,スカイカット,"メーカー送料1式1,500",WA100N,255ｘ1.2ｘ31.75,560.00 ,個,,個,,,事務所,2025/2/26,050590,,25日,,,,,,,,,,,,,
イボか001-100625,イボ01,いぼきん,㈱イボキン,,カタンコロ,,,,都度見積り,KG,,KG,,,,2010/6/25,管理部長,,,,,,,,,,,,,,,
イボし001-110915,イボ01,いぼきん,㈱イボキン,,新断プレス,,,,市況により,KG,,KG,,,,,,,,,,,,,,,,,,,,
インタ001-00,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,,ロールペーパー　841ミリ幅　200ｍ巻,,FLK-K383　Ａ0サイズ,2本入り,"9,700.00 ",箱,1,箱,2,本,事務所,2007/7/12,,,,,,,,,,,,,,,,
インタ001-100501,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,,ロールペーパー　841ミリ幅　200ｍ巻,,FLK-K383　Ａ0サイズ,2本入り,"9,000.00 ",箱,1,箱,2,本,事務所,2010/5/1,100416,原価低減（5％)協力,,,,,,,,,,,,,,
インタ202404-1,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,100,名刺　両面100枚,役職と名前を書いて注文（新規は、メールアドレス・携帯番号（支給有の場合）,両面（表：フルカラー　裏：白黒）,2024.04～,"1,500.00 ",式,,式,,,事務所,,,,,,,,,,,,,,,,,
インタ20240405-1,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,100,名刺　両面50枚,役職と名前を書いて注文（新規は、メールアドレス・携帯番号（支給有の場合）,両面,2024.04～,"1,200.00 ",式,,式,,,事務所,,,,,,,,,,,,,,,,,
インタ20240405-2,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,100,名刺　片面100枚,役職と名前を書いて注文（新規は、メールアドレス・携帯番号（支給有の場合）,片面,2024.04～,"1,200.00 ",式,,式,,,事務所,,,,,,,,,,,,,,,,,
インタ20221013,インタ01,いんたーねっとくらしき,㈱インターネット倉敷,100,名刺　片面50枚,役職と名前を書いて注文（新規は、メールアドレス・携帯番号（支給有の場合）,片面,2024.04～,"1,100.00 ",式,,式,,,事務所,,,,,,,,,,,,,,,,,
