"id","name","file_path","memo","del_flg","created_at","updated_at","movie_tag_id"
"17","アキオカ様進捗会(8_1)-会議の録音.mp4","JtcitSkh-oc?si=Q5-37GxMeFkkCkl1",,"0","2023-08-01","2024-06-17 06:58:23","1"
"18","打合せ-会議の録音.mp4","wFNzj1QARfY?si=MH1lU_yIyhUcAoH0",,"0","2023-08-18","2024-06-17 06:58:24","1"
"19","アキオカ様操作説明(生産計画、現品票、支給入力)-会議の録音.mp4","ZlEi_BRGRGQ?si=7XPwsY4UNlMPKJY5",,"0","2023-08-24","2024-06-17 06:58:24","1"
"20","お打ち合わせ-会議の録音.mp4","BaW5dJo7uV0?si=ytFSC1IuD-eCWWZw",,"0","2023-08-31","2024-06-17 06:58:24","1"
"21","③国内製造-会議の録音.mp4","6-QvcbHKuA0?si=FOqyyhXkXLvGZ1lP",,"0","2023-09-04","2024-06-19 08:25:30","1"
"22","海外製造-会議の録音.mp4","MzpW18Wompg?si=_M5giD1Ge0LcZKdM",,"0","2023-09-04","2024-06-19 08:25:30","1"
"23","会議の録音.mp4","6bj_KV2NzIw?si=as6Yads1PDuLAbPY",,"0","2023-09-04","2024-06-19 08:25:30","1"
"24","フィーダ操作説明-会議の録音.mp4","ZBmptqJGCz0?si=tzJgBbvT8aBtjSfo",,"0","2023-09-05","2024-06-19 08:25:30","1"
"25","出荷操作説明-会議の録音.mp4","tz93qycb5bA?si=jsIs09okcqFRs3-0",,"0","2023-09-05","2024-06-19 08:25:30","1"
"26","会議の録音.mp4","jjNVBN62YEI?si=iR_MraSSwiDekD5b",,"0","2023-09-05","2024-06-19 08:25:30","1"
"27","打合せ-会議の録音.mp4","4Us4fCF8v6c?si=mWiM-Ir846B0ifFg",,"0","2023-09-08","2024-06-19 08:25:30","1"
"28","EDIセット関連.mp4","6I3JBUovoPQ?si=CM9-fiPxwGH99m70",,"0","2023-09-14","2024-06-19 08:25:30","1"
"29","16日当日の段取りについて.mp4","QtbiXNA96jU?si=pVQy5eRrVmtdqIw3",,"0","2023-09-14","2024-06-19 08:25:30","1"
"30","マスタデータのセットについて.mp4","Fjj7bGfrmB8?si=2tjMBWyNvQIIZmAX",,"0","2023-09-14","2024-06-19 08:25:30","1"
"31","生産計画①.mp4","zyYE4EPwS3E?si=dNABEK-QwiuDVWJr",,"0","2023-09-15","2024-06-19 08:25:30","1"
"32","生産計画②.mp4","W69SxqOYzeE?si=b_Ky2KxcAhSsLl45",,"0","2023-09-15","2024-06-19 08:25:30","1"
"33","生産計画帳票確認.mp4","aJZXILmebi4?si=nh82Qytb4k-urO-n",,"0","2023-09-15","2024-06-19 08:25:30","1"
"34","現場実績入力①.mp4","TH_hjQ51BCw?si=LRN_OOmR_zOSDx6n",,"0","2023-09-16","2024-06-19 08:25:30","1"
"35","フィーダ関連.mp4","tiqVE1du1so?si=9orqlAsR731cGB-G",,"0","2023-09-21","2024-06-19 08:25:30","1"
"36","海外調達.mp4","PYuXLPEnep4?si=RVEZOSR_wbpk8S6l",,"0","2023-09-21","2024-06-19 08:25:30","1"
"37","購買関連.mp4","evfJtQqYX7Q?si=bbQSfrW7GlpaR2Vd",,"0","2023-09-21","2024-06-19 08:25:30","1"
"38","受注関連.mp4","o5lPlMCAC_0?si=KUI4xXqWlWMEsVaJ",,"0","2023-09-22","2024-06-19 08:25:30","1"
"39","出荷関連.mp4","km9ve6lLDbk?si=1YQYZxBOeNvyLo9R",,"0","2023-09-22","2024-06-19 08:25:30","1"
"40","在庫・棚卸関連.mp4","vgHfWNPrCGM?si=V9KslQYL2hDfmBys",,"0","2023-09-22","2024-06-19 08:25:30","1"
"41","追加機能検証.mp4","iEOBVQLqDVY?si=2rds6aRYL9eLXtnD",,"0","2023-09-22","2024-06-19 08:25:30","1"
"42","マスタ登録①.mp4","c_ApEBFM3J8?si=C91g9kXBX2JNJ15Q",,"0","2023-09-27","2024-06-19 08:25:30","1"
"43","マスタ登録②.mp4","XQS_JV_CB9o?si=jwTu1OXSnhPO0Kuz",,"0","2023-09-27","2024-06-19 08:25:30","1"
"44","現場実績入力②.mp4","0DVyRuLxFiE?si=Nc0hes9ZgpPt5M6b",,"0","2023-09-27","2024-06-19 08:25:30","1"
"45","買掛関連.mp4","MbrEk8B4RVw?si=m7EKKeYmqnstk6hq",,"0","2023-09-28","2024-06-19 08:25:30","1"
"46","売掛関連.mp4","lpjlpVVhNBQ?si=e0sTogTNxQaYxm-G",,"0","2023-09-28","2024-06-19 08:25:30","1"
"47","月次処理.mp4","twjumWckCyQ?si=LfZN6ylTruAxM_qS",,"0","2023-09-28","2024-06-19 08:25:30","1"
"48","本稼働前最終打合せ.mp4","fHfGa4Dhiso?si=HIxU5XuMexmv2qx9",,"0","2023-09-29","2024-06-19 08:25:30","1"
"49","OT要求一覧確認+炉前.mp4","O-Z4zgYMrTw?si=z4lko0drYHrgAhmQ",,"0","2023-09-29","2024-06-19 08:25:30","1"
"50","今後の進め方(事前打ち合わせ).mp4","EnssmUdSmxo?si=jTc01_8DDNMzruNQ",,"0","2023-10-10","2024-06-19 08:25:30","1"
"51","インボイス・請求.mp4","RQvI8YgLLk4?si=0otSqHXHGhgzGZyy",,"0","2023-10-11","2024-06-19 08:25:30","1"
"52","今後の進め方(3社打合せ).mp4","eB4GNnVxD8s?si=c7qehA2XziSjUBmo",,"0","2023-10-17","2024-06-19 08:25:30","1"
